DST,MOPH
adalimumab 80 mg / 0.8 mL subcutaneous syringe 0.8 mL,Acyclovir 400 MG
adapalene 0.1 % topical gel 15 g,Acyclovir 5%
Adapalene -Benzoyl Peroxide 0.1-2.5 % topical gel 45 g,"Acyclovir
400 mg/Tablet
 "
adenosine 3 mg /mL intravenous solution for injection 2 mL,Acyclovir 200 mg
Adrenaline Autoinjector 0.15 mg /0.3 mL intramuscular solution for injection 0.3 mL,Acyclovir 250mg
Adrenaline Autoinjector 0.15 mg /0.15 mL intramuscular solution for injection 0.15 mL,Acyclovir 5%
Adrenaline Autoinjector 0.3 mg /0.3 mL intramuscular solution for injection 0.3 mL,Acyclovir 800 mg
aerochamber (blue) device + mask(Adult Large) - - - Device - - -,Adefovir Dipivoxil 10mg
Aerochamber Flow-Vu ( no mask) device 5+ years - - - Device - - -,Agomelatine 25mg
AeroChamber Flow-Vu (+ mask) device 0-18 months - - - Device - - -,ALAFACALCIDOL 0.5 MG
AeroChamber Flow-Vu (+ mask) device 1-5 years - - - Device - - -,Albendazole 20mg/ml
agomelatine 25 mg Oral Tab,Albendazole 400mg
Al hydroxide-Mg hydroxide-simethicone 225-200-25 mg /5 ml oral flavored syrup 355 ml,Alendronate 70 mg
albendazole 20 mg /ml oral flavored syrup 20 ml,Alendronate Sodium 70mg
albumin human 200 mg /mL intravenous solution for injection 100 mL,"Alendronate Sodium 70mg+Cholecalciferol
 5600IU  "
albumin human 200 mg /mL intravenous solution for injection 50 mL,ALFACALCIDOL 0.25 MCG
albumin human 50 mg /mL intravenous solution for injection 250 mL,ALFACALCIDOL 0.25 MCG
albuterol (salb) 0.1% 2.5 mg 2.5mL inahlation Nebule 2.5 mL,Alfacalcidol 1.00µg
albuterol (salbutamol) 0.83 mg ml inhalation solution 3 ml,ALFACALCIDOL 1MCG
albuterol (salb) Syrup (SF/sacch) 2 mg /5 ml oral sugar free solution 150 ml,ALFACALCIDOL 1MCG
"albuterol (salbutamol) 0.5 mg /mL SC,IM,IV solution for injection 1 mL",ALFACALCIDOL 2MCG/ ML
albuterol (salbutamol) 0.5 mg ml inhalation solution 20 ml,alfuzosin 10mg
albuterol (salbutamol) 100 mcg puff inhalation MDI 200 -,Allopurinol 100 mg
albuterol (salbutamol) 2 mg Oral Tab,ALLOPURINOL 100MG
alfacalcidol 0.25 mcg Oral Cap,Allopurinol 300 mg
alfacalcidol 1 mcg /0.5 mL Intravenous injection 1 mL,ALLOPURINOL 300MG
alfacalcidol 2 mcg / mL Oral Drops 20 mL,alprazolam 0.25 mg
allopurinol 100 mg Oral Tab,alprazolam 0.5mg
allopurinol 300 mg Oral Tab,alprazolam 1mg
allopurinol 500 mg intravenous powder for injection,alprostadil 10 mcg
alprostadil 0.5 mg /mL Intravenous injection 1 mL,alprostadil 500 mcg/ml
alteplase 50 mg intravenous powder for injection,alteplase 50 mg/vial
amantadine 100 mg Oral Cap,"Aluminium Hydroxide 215mg
 + Magnisium Hydroxide 80mg
  "
"amikacin sulfate 250 mg /mL IM,IV solution for injection 2 mL","Aluminium Hydroxide 220.000mg
 (amount per unit dose) Magnesium
 Hydroxide 200.000mg (amount
 per unit dose)         Activated
 Dimethicone (Simethicone)
 25.000mg (amount per unit
 dose)  "
"amikacin sulphate 50 mg /mL IM,IV solution for injection 2 mL","ALUMINUM HYDROXIDE GEL 50
  GM + MAGNESIUM OXIDE LIGHT
 2.026  GM. (eq. to
Aluminium
 Hydroxide 375mg, MagnesiumHydroxide
 145mg/5ml)  "
amiloride 5 mg Oral Tab,"ALUMINUM HYDROXIDE GEL 50
  GM + MAGNESIUM OXIDE LIGHT
 2.026  GM. (eq. to
Aluminium
 Hydroxide 375mg, MagnesiumHydroxide
 145mg/5ml)  "
amiloride-hydrochlorothiazide 5-50 mg Oral Tab,Alverine Citrate 60mg
amino acids 10% 100 mg /mL intravenous solution for injection 250 mL,Ambroxol 15 mg / 5 ml
aminophylline hydrate 25 mg /mL intravenous solution for injection 10 mL,"Ambroxol Hydrochloride15mg/5ml
  "
amiodarone 200 mg Oral Tab,"Ambroxol Hydrochloride 30mg
  "
amiodarone 50 mg /mL intravenous solution for injection 3 mL,"Ambroxol Hydrochloride 30mg/5ml
  "
amitriptyline 10 mg Oral Tab,"Ambroxol Hydrochloride 30mg/5ml
  "
amitriptyline 25 mg Oral Tab,"Ambroxol Hydrochloride 75mg
  "
amitriptyline 50 mg Oral Tab,"Amikacin (as Sulfate) 500mg/2ml
  "
amitriptyline 75 mg Oral Tab,"Amiloride + hydrochlorothiazide
  "
amlodipine 5 mg Oral Tab,"Amino acids (10 % w/v) Injection
 with Electrolytes  "
amlodipine-perindopril 5-10 mg Oral Tab,"Amino acids (5% w/v) and Sorbitol
 (5% w/v) Injection  "
amlodipine-perindopril 5-5 mg Oral Tab,Amiodarone HCl 150mg
amlodipine-valsartan 5-160 mg Oral Tab,Amiodarone HCl 200mg
amoxicillin - clavulanic acid (co-amoxiclav) 400-57 mg / 5 ml oral powder for suspension 70 mL,Amisulpiride 200mg
amoxicillin (SF/sorb) 125 mg /5 ml oral flavored syrup 100 ml,Amisulpiride 50mg
amoxicillin 250 mg /5 ml oral powder for suspension 100 ml,"Amlodipine (as amlodipine
 besilate) 10mg  "
amoxicillin 250 mg Oral Cap,"Amlodipine (as amlodipine
 besilate) 5mg  "
amoxicillin 500 mg Oral Cap,Amlodipine 5 mg
amoxicillin- clavulanic acid 50 - 12.5 mg /5 ml oral powder for suspension 20 ml,Amlodipine 5 mg
amoxicillin-clav 500-125 mg Oral Tab,"amlodipine besilate 10 mg,
 atorvastatin calcium 10 mg
  "
amoxicillin-clav 875-125 mg Oral Tab,"amlodipine besilate 10 mg,
 atorvastatin calcium 20 mg
  "
amoxicillin-clavulanic acid 100-20 mg intravenous powder for injection,"amlodipine besilate 10 mg,
 atorvastatin calcium 40 mg
  "
amoxicillin-clavulanic acid 600-42.9 mg /5 ml oral powder for suspension 100 ml,"amlodipine besilate 6.944
 eq.to  amlodipine 5 mg  "
amphotericin B liposomal 50 mg intravenous powder for injection,"amlodipine besilate 5 mg,
 atorvastatin calcium 10 mg
  "
"ampicillin 1000 mg IM,IV powder for injection","amlodipine besilate 5 mg,
 atorvastatin calcium 20 mg
  "
"ampicillin 250 mg IM,IV powder for injection","amlodipine besilate 5 mg,
 atorvastatin calcium 40 mg
  "
"ampicillin 500 mg IM,IV powder for injection",Amlodipine besylate 5mg
"ampicillin-sulbactam 100-500 mg IM,IV powder for injection","Amlodipine/Valsartan 10/160
 mg  "
anakinra 100 mg /0.67 mL subcutaneous single use Prefilled syringe 0.67 mL,"Amlodipine/Valsartan 10/320
 mg  "
anesthetic 116 % topical spray 116 ml,"Amlodipine/Valsartan 5/160
 mg  "
anidulafungin 100 mg intravenous Powder for Injection,"Amlodipine/Valsartan 5/320
 mg  "
anticoagulant Citrate Dextrose Soln intravenous fluid 750 mL,"Amlodipine/Valsartan/Hydrochlorothiazide
 10/160/12.5 mg  "
antithrombin III human 500 units intravenous powder for injection,"Amlodipine/Valsartan/Hydrochlorothiazide
 5/160/12.5 mg  "
aprepitant 80 mg Oral Cap,"Each unit dose contains Ammonium
 Chloride 100mg ,Sodium Citrate
 50mg Menthol 7.75mg , Liquid
 extract of Horehound 0.0015
 ml
Tolu Tincture  0.001 ml
 ,Squill Tincture 0.001 ml

Liquid extract of Tussilago
 0.0004 ml  "
aprepitant tripack 125 (1 Tab) / 80 (2 Tab) mg Oral Cap,Amoxicillin  500 mg
arginine hydrochloride 100 mg /mL intravenous solution for injection 300 mL,"Amoxicilin 600mg/5ml + Potassium
 clavunate 42.9mg/5ml  "
aripiprazole 10 mg Oral Tab,"Amoxicillin (As Amoxicillin
 trihydrate 125mg/5ml  "
aripiprazole 15 mg Oral Tab,"Amoxicillin (As Amoxicillin
 trihydrate 250mg  "
aripiprazole 5 mg Oral Tab,"Amoxicillin (As Amoxicillin
 trihydrate 250mg/5ml  "
arsenic trioxide 1 mg /mL intravenous solution for injection 10 ml,"Amoxicillin (As Amoxicillin
 trihydrate 500mg  "
artemether-lumefantrine 20-120 mg Oral Tab,Amoxicillin 125mg/5ml
artesunate 60 mg intravenous powder for injection,"Amoxicillin 200mg & Clavulanic
 acid 28.5mg  "
ascorbic acid (Vitamin C) 100 mg Oral Tab,Amoxicillin 250mg/5ml
ascorbic acid (Vitamin C) 500 mg Oral Chew tab,"Amoxicillin 50mg & Clavulanic
 acid 12.5mg
  "
"asparaginase (E.Coli) 10,000 units IV Powder for Injection","Amoxicillin 875 mg, Clavulanic
 Acid 125 mg  /Tablet  "
aspirin 100 mg Oral Tab,"Amoxicillin 875mg & Clavulanic
 acid 125mg  "
aspirin 300 mg Oral Tab,"Amoxicillin sodium + potassium
 clavulanate 1g+200mg  "
aspirin 75 mg Oral Disp tab,"Amoxicillin sodium + potassium
 clavulanate 2g+200mg  "
aspirin-dipyridamole ER 25-200 mg Oral Cap,"Amoxicillin sodium + potassium
 clavulanate 500mg+100mg IV
  "
atenolol 100 mg Oral Tab,"Amoxicillin Sodium 125mg &
 Potasium Clavulanate 31mg
  "
atenolol 25 mg Oral Tab,"Amoxicillin Sodium 250 mg
 & Potasium Clavulanate 125mg
  "
atenolol 50 mg Oral Cap,"Amoxicillin Sodium 250 mg
 & Potasium Clavulanate 62mg
  "
atomoxetine 10 mg Oral Cap,"Amoxicillin Sodium 400 mg
 & Potasium Clavulanate 57mg
  "
atomoxetine 18 mg Oral Cap,"Amoxicillin Sodium 500 mg
 & Potasium Clavulanate 125mg
  "
atomoxetine 25 mg Oral Cap,"Amoxicillin Trihydrate  400mg/5ml

Potassium Clavulanate 57mg/5ml
  "
atomoxetine 4 mg /mL Oral solution 100 mL,"Amoxicillin Trihydrate  500mg
 + Potassium Clavulanate 125mg
  "
atomoxetine 40 mg Oral Cap,"Amoxicillin trihydrate + potassium
 clavulanate (125mg+31.25mg)/5ml
  "
atomoxetine 60 mg Oral Cap,"Amoxicillin trihydrate + potassium
 clavulanate (250mg+62.5mg)/5ml
  "
atorvastatin 10 mg Oral Tab,"Amoxicillin trihydrate + potassium
 clavulanate (400mg+57mg)/5ml
  "
atorvastatin 20 mg Oral Tab,"Amoxicillin trihydrate + potassium
 clavulanate 500mg+125mg
 "
atorvastatin 40 mg Oral Tab,"Amoxicillin trihydrate + potassium
 clavulanate 875mg+125mg
 "
atosiban 7.5 mg /mL Intravenous injection 0.9 mL,"AMOXICILLIN TRIHYDRATE 1000
 MG  "
atosiban acetate 7.5 mg /mL Intravenous injection 5 mL,"AMOXICILLIN TRIHYDRATE 1000
 MG  "
atovaquone 750 mg /5 ml Oral Syrup 210 mL,"AMOXICILLIN TRIHYDRATE125mg/5ml
  "
atovaquone-proguanil 250-100 mg Oral Tab,"Amoxicillin Trihydrate 200mg/5ml

Potassium Clavulanate 28mg/5ml
  "
"atropine sulfate 0.1 mg /mL IM,IV solution for injection 5 mL","AMOXICILLIN TRIHYDRATE 250
 mg  "
"atropine sulfate 0.5 mg /mL SC,IM,IV solution for injection 1 mL","AMOXICILLIN TRIHYDRATE 250
 mg  "
"atropine sulfate 0.6 mg /mL SC,IM,IV solution for injection 1 mL","AMOXICILLIN TRIHYDRATE 250
 mg/5 ml  "
atropine sulphate 1 % ophthalmic minims 0.5 mL,"AMOXICILLIN TRIHYDRATE 250
 mg/5 ml  "
atropine sulphate 1 % ophthalmic ointment 5 g,"AMOXICILLIN TRIHYDRATE 375
 mg / 5 ml  "
atropine sulphate 1 % ophthalmic solution 10 mL,"AMOXICILLIN TRIHYDRATE 375
 mg / 5 ml  "
atropine sulphate 1 % ophthalmic solution 5 mL,"AMOXICILLIN TRIHYDRATE 500
 MG  "
azathioprine 25 mg Oral Tab,"AMOXICILLIN TRIHYDRATE 500
 MG  "
azathioprine 50 mg Oral Tab,"AMOXICILLIN TRIHYDRATE 500
 mg / 5 ml  "
azelaic acid 20 % topical cream 30 g,"Amoxicillin trihydrate 500mg
  "
azelastine 0.1 % /30 mL Nasal spray solution 30 mL,"Amoxicillin Trihydrate 875mg
 +  Potassium Clavulanate
 125mg  "
azelastine 0.1 % ml Nasal spray solution 10 ml,"Amoxicillin500mg,Clavulanic
   Acid 125 mg  /Tablet  "
azithromycin 200 mg /5 ml oral unflavored syrup 15 ml,"Amoxicyllin 500 mg + Calavulanic
 acid 125 mg   "
azithromycin 250 mg Oral Cap,"Amoxicyllin 875 mg + Calavulanic
 acid 125 mg   "
azithromycin 500 mg intravenous powder for injection,"Amoxycillin  & Clavulanic
 Acid 1000 mg/ 200mg
  "
aztreonam 1000 mg intravenous powder for injection,"Amoxycillin  & Clavulanic
 Acid 500 mg/100mg
  "
bacillus calmette guerin (BCG) live attenuated 20 doses mL intradermal multidose injection 1 mL,Amoxycillin  250 mg
Bacillus Probiotic 2 bil/5 mL Susp (ENTEROGERMINA) 2 bil ml /5 ml oral unflavored syrup 5 ml,"Amoxycillin (as Trihydrate)
  100mg/ml  "
bacitracin 500 iu/gm ophthalmic ointment 3.5 g,"Amoxycillin (as Trihydrate)
  125mg/5 ml  "
bacitracin REC 50000 units intravenous Powder for Injection,"Amoxycillin (as Trihydrate)
 500 mg  "
bacitracin-neomycin 250-5000 iu topical ointment 20 g,"Ampicillin for Injection USP
 1000mg  "
baclofen 0.05 mg /mL intrthecal preservative free solution for injection 1 mL,"Ampicillin for Injection USP
 500mg  "
baclofen 10 mg Oral Tab,AMPICILLIN SODIUM 1 G
baclofen 0.5 mg /mL intrthecal preservative free solution for injection 20 mL,AMPICILLIN SODIUM 1 G
baclofen 2 mg /mL intrthecal preservative free solution for injection 5 mL,"AMPICILLIN SODIUM 500 mg
 "
baclofen 5 mg /5 ml oral flavored syrup 300 ml,"AMPICILLIN SODIUM 500 mg
 "
balanced salt - - ophthalmic solution 15 ml,"Amxicyllin 125 mg + Calavulanic
 acid 31.25 mg  / 5 ml  "
baricitinib 2 mg Oral FC Tab,"Amxicyllin 250 mg + Calavulanic
 acid 62.5 mg  / 5ml  "
barium sulfate 1 g /mL Oral Suspension 500 ml,"Amxicyllin 500 mg + Calavulanic
 acid 125 mg   "
barium sulfate 100 % - Oral Suspension 300 ml,"Amytriptiline hydrochloride
 25 mg  "
basiliximab 20 mg intravenous Powder for Injection,"Anastrozole, 1 mg   "
basiliximab REC 10 mg intravenous Powder for Injection,Anidulafungin 100mg/30ml
beclomethasone 250 mcg puff inhalation solution 200 dose,"Antazolin Sulphate 50mg/10ml

Naphazoline Nitrate 2.5mg/10ml
  "
beclomethasone 50 mcg puff Nasal Spray solution 200 dose,"Antazolin Sulphate 50mg/10ml

Naphazoline Nitrate 2.5mg/10ml
  "
beclomethasone aserosol 50 mcg puff inhalation solution 200 dose,Apixaban 2.5 mg
Belimumab 120 mg intravenous Powder for Injection,"Aprepitant 80 mg+ 125 mg
   "
Belimumab 400 mg intravenous Powder for Injection,"Artemether/Lumefantrine 20/120
 mg  "
benzocaine-chloramphenicol 5-5 % otic solution 10 ml,"Ofatumumab 20 mg/ml (1000
 mg)  "
benzoyl peroxide 5 % topical gel 30 g,"Ofatumumab 20 mg/ml (100mg)
  "
benzoyl peroxide-clinda 3 - 1 %-% Topical 30 g gel,Ascorbic acid 1 gm
benztropine 0.5 mg Oral Tab,Ascorbic acid 1 gm
benztropine 1 mg Oral Tab,"Atazanavir Sulfate 150 mg
  "
benztropine 2 mg Oral Tab,"Atazanavir Sulfate 200 mg
  "
Benzyl peroxide lotion 5 % topical lotion 29.5 ml,Atenolol  100 mg
betahistine 16 mg Oral Tab,Atenolol  25 mg
betahistine 8 mg Oral Tab,Atenolol  50 mg
betaine anhydrous 1 g/scoop 180 g Oral Powder,"Atenolol + chlorthalidone,
 100 mg + 25 mg  "
betamethasone dipropionate 0.05 % topical ointment 30 g,"Atenolol + chlorthalidone,
 100 mg + 25 mg  "
"betamethasone sodium phosphate and Betamethasone Acetate 6 mg /mL IM,intradermal suspension for injection 5 mL",ATENOLOL 100MG
betamethasone valerate 0.1 % topical cream 20 g,Atenolol 100mg
betamethasone valerate 0.1 % topical ointment 20 g,Atenolol 100mg
betamethasone valerate 0.1 % topical shampoo 30 ml,ATENOLOL 50MG
betamethasone-calcipotriol 0.05-0.005 % topical ointment 60 g,Atenolol 50mg
betaxolol 0.5% E/D 5 mL 0.5 % ophthalmic solution 5 ml,Atenolol 50mg
bevacizumab 25 mg /mL Intravenous Injection 4 mL,"Atenolol, 100 mg  "
bimatoprost-timolol 0.03-0.5 % ophthalmic solution 3 ml,"Atenolol, 100 mg  "
biotin (vitamin B7) (Compounding) 10 g Oral Powder,"Atenolol, 25 mg  "
biotin (Vitamin H) 10 mg Oral Tab,"Atenolol, 50 mg  "
bisacodyl 10 mg rectal supp,"Atenolol, 50 mg  "
bisacodyl 5 mg Oral EC TAB,"Atomoxetine Hydrochloride
 10mg  "
bisacodyl 5 mg rectal supp,"Atomoxetine Hydrochloride
 18mg  "
bismuth subsalicylate 262.5 mg Oral Chew tab,"Atomoxetine Hydrochloride
 25mg  "
bisoprolol 2.5 mg Oral Tab,"Atomoxetine Hydrochloride
 40mg  "
bisoprolol 5 mg Oral Tab,"Atomoxetine Hydrochloride
 60mg  "
bivalent Types 1 & 3 poliomyelitis (POLIO)live attenuated 20 doses 2 mL oral multidose injection 2 mL,"ATORVASTATIN (AS ATORVASTATIN
 CALCIUM) 10 mg  "
bivalirudin 250 mg intravenous powder for injection,"ATORVASTATIN (AS ATORVASTATIN
 CALCIUM) 20mg  "
bleomycin sulphate 15 I.U. 15 mg intravenous/IV/IM/SC/INTRAPLEURAL Powder for Injection,"ATORVASTATIN (AS ATORVASTATIN
 CALCIUM) 40mg  "
bosentan 62.5 mg Oral Tab,"ATORVASTATIN (AS ATORVASTATIN
 CALCIUM) 80mg  "
botulinum TOXIN type A 100 units intramuscular / intradermal Powder for Injection,Atorvastatin 10 mg
botulinum TOXIN type A 50 units intramuscular / intradermal Powder for Injection,Atorvastatin 20 mg
brentuximab vedotin Inj 50 mg IV Powder for Injection,Atorvastatin 40 mg
brimonidine tartrate 0.15 % ophthalmic minims 5 ml,"atorvastatin calcium 10 mg
  "
Brivaracetam 10 mg /ml Oral Solution 300 ml,"atorvastatin calcium 20 mg
  "
bromhexine 4 mg /5 ml oral sugar free solution 100 ml,"atorvastatin calcium 40 mg
  "
bromhexine 8 mg Oral Tab,"atorvastatin calcium 80mg
  "
bromocriptine 2.5 mg Oral Tab,Atosiban 7.5mg/ml
B-sitosterol 0.25 % topical ointment 30 g,Atosiban 7.5mg/ml
budesonide 0.5 mg 2ml inahlation Nebule 2 ml,"Atovaquone 250mg + Proguanil
 Hcl
100mg  "
budesonide 3 mg Oral EC Cap,"Atracurium Besylate 10mg/ml

  "
budesonide 32 mcg spray Nasal Spray solution 120 dose,"Atracurium Besylate HSE 10mg/ml

  "
budesonide 64 mcg spray Nasal Spray solution 120 dose,Azathioprine 25mg
budesonide aerosol 200 mcg puff inhalation turbuhaler 100 dose,Azathioprine 50mg
budesonide-formoterol 160-4.5 mcg-mcg puff inhalation turbuhaler 120 dose,Azelaic acid 20%
budesonide-formoterol 320-9 mcg-mcg puff inhalation turbuhaler 60 dose,"Azelastine Hydrochloride 10mg/10ml
  "
budesonide-formoterol 80-4.5 mcg-mcg puff inhalation turbuhaler 120 dose,"Azithromycin (as dihydrate
 )
200mg/5ml  "
"bumetanide 0.25 mg /mL IM,IV solution for injection 4 mL","Azithromycin (as dihydrate
 )
250mg/Capsule  "
bupivacaine hydrochloride 0.25 w/v 2.5 mg /mL epidural Preservative Free solution for injection 10 mL,"Azithromycin (as dihydrate
 )
300mg/7.5ml  "
bupivacaine hydrochloride 0.5% 5 mg /mL intrathecal Preservative Free solution for injection 4 mL,"Azithromycin (dihydrate) 200mg/5ml
  "
bupivacaine hydrochloride 0.5% w/v 5 mg /mL epidural Preservative Free solution for injection 10 mL,"Azithromycin (dihydrate) 300mg/7.5ml
  "
"bupivacaine-epinephrine 0.25% w/v , 1:200,000 2.5/0.05 mg /mL intravenous solution for injection 10 mL","Azithromycin (dihydrate) 250
 mg  "
buPROPion 150 mg Oral ER 12-hr Tab,azithromycin 200 mg/5ml
Bupropion 150 mg Oral ER Tab,azithromycin 200 mg/5ml
buserelin 150 mcg spray Nasal Spray solution 100 dose,azithromycin 200 mg/5ml
buserelin acetate 1 mg /mL subcutanious solution for injection 5.5 mL,azithromycin 250 mg
cabergoline 0.5 mg Oral Tab,azithromycin 250 mg
"caffeine citrate 10 mg /mL IV,oral solution for injection 1 mL",Azithromycin 500
caffeine citrate 25 mg /mL intravenous solution for injection 2 mL,"Bacitracine zinc+neomycine
 sulfate  "
calamine - zinc oxide 15-5 % topical lotion 100 ml,"Bacitracine zinc+neomycine
 sulfate  "
calcipotriol 0.005 % topical ointment 30 g,Baclofen10 mg
calcitriol 0.25 mg Oral Cap,Basiliximab 20 mg
calcitriol 0.5 mcg Oral Cap,"Bemiparin Sodium 10,000 IU/0.4
 ml  "
calcium acetate 667 mg Oral Cap,"Bemiparin Sodium 2,500 IU
 / 0.2 ml  "
calcium carb - mag carb 680-80 mg Oral Chew Tab,"Bemiparin Sodium 3,500 IU/
 0.2 ml  "
calcium carbonate 1250(500) mg Oral Chew Tab,"Bemiparin Sodium 5,000 IU/
 0.2 ml  "
calcium carbonate 750(300) mg Oral Chew Tab,"Bemiparin Sodium 7,500 IU/
 0.3 ml  "
calcium carb-vit D3 600-200 mg Oral Tab,Beractant 4ml
calcium carb-vit D3 600-400 mg Oral Chew tab,Beractant 8ml
calcium CHLORIDE (10%) 100 mg /mL intravenous solution for injection 10 mL,"Betahistine Dihydrochloride
 16mg  "
"calcium chloride / magnesium chloride / sodium chloride / sodium lactate I.V. Bag 2,000 mL intra peritoneal fluid 2000 mL","Betahistine dihydrochloride
 8mg  "
calcium CHLORIDE 10% 100 mg /mL intravenous solution for injection 10 mL,"Beta-hydroxyethyl) rutoside
 300 mg  "
calcium FOLInate (leucovorin) 10 mg /mL IV/IM injection 10 mL,"each 2 ml contains Betamethasone
  Dipropionate 12.86mg equivalent
 to 10 mg Betamethasone  +Betamethasone
 Disodium Phosphate 5.26mg
 equivalent to 4 mg  Betamethasone
  "
calcium FOLInate (leucovorin) 15 mg Oral Tab,"Betamethasone & Neomycin
(1
 mg + 5 mg)/g  "
calcium FOLInate (leucovorin) Inj 10 mg /mL IV/IM Injection 5 mL,"Betamethasone as Dipropionate
 0.5mg  "
calcium glub-lactob (elem) 109.3 mg /3mg oral alcohol free solution 100 ml,"Betamethasone as Dipropionate
 0.5mg  "
calcium GLUCOnate 10% (0.233 mmol/mL) 100 mg /mL intravenous preservative free solution for injection 100 mL,"BETAMETHASONE DIPROPOINATE
 0.64 mg/gm equivalent to
 0.5 mg betamethasone  "
calcium GLUCOnate 10% (0.233mmol/mL) 100 mg /mL intravenous preservative free solution for injection 10 mL,"BETAMETHASONE DIPROPOINATE
 0.64 mg/gm equivalent to
 0.5 mg betamethasone  "
calcium lactate 300 mg Oral Tab,"BETAMETHASONE DIPROPOINATE
 0.64 mg equivalent to 0.5
 mg  & salicylic acid 30 mg
            / gm  "
calcium-lysine -dnicotinamide 130/300/20 mg /15 ml oral flavored syrup 200 ml,"Betamethasone Sodium Phosphate
 0.01g/10ml  "
calf blood deproteinized 5 % topical ointment 20 g,"BETAMETHASONE VALERATE 0.1%
  "
canakinumab 150 mg intravenous Powder for Injection,"BETAMETHASONE VALERATE 0.1%
  "
candesartan 8 mg Oral Scored Tab,"Betamethasone Valerate B.P.
 0.122%
w/w  "
captopril 12.5 mg Oral Tab,"Betamethasone Valerate B.P.
 0.122% w/w  "
captopril 25 mg Oral Scored Tab,"Betamethasone Valerate B.P.
 0.122% w/w  "
captopril 50 mg Oral Scored Tab,"Betamethasone Valerate B.P.
 0.122% w/w  "
carBAMazepine 100 mg /5 ml oral unflavored syrup 100 ml,"Betamethasone Valerate 0.1%

Neomycin Sulphate 0.5%  "
carbamazepine 100 mg Oral Tab,"Betamethasone
1 mg/g  "
carbamazepine 200 mg Oral CR Scored Tab,"Betamethasone
1 mg/g  "
carbamazepine 200 mg Oral Scored Tab,"Betaxolol hydrochloride eq.
 betaxolol base 5 mg/ml.
 "
carbamazepine 300 mg Oral ER Cap,"Bevacizumab 100mg/4ml
(25mg/ml)
  "
carbamazepine 400 mg Oral ER Tab,"Bevacizumab 400mg/16ml
(25mg/ml)
  "
carbetocin 0.1 mg /mL intravenous solution for injection 1 mL,"Bicalutamide, 150 mg  "
carbidopa / levodopa 25-100 mg Oral CR Tab,"Bicalutamide, 50 mg  "
carbidopa / levodopa 25-100 mg Oral Tab,"Biphasic Insulin Aspart 100
 U/ml  "
carbidopa / levodopa 25-250 mg Oral Scored Tab,"Biphasic Insulin Aspart 100
 U/ml  "
carbimazole 20 mg Oral Tab,Bisacodyl 5mg
carbimazole 5 mg Oral Tab,Bisacodyl 5mg
carbomer-hypromellose 2.2 mg-3 mg - - ophthalmic gel 10 g,Bisacodyl 5mg
carboplatin 10 mg /mL intravenous preservative free solution for injection 45 mL,Bisacodyl 5mg
